model,valore_AIC,valore_BIC_data,valore_BIC_subject,valore_LogLikelihood,signifi_interc1,signifi_linear1,signifi_quadra1,signifi_cubic1,signifi_quarti1,signifi_interc2,signifi_linear2,signifi_quadra2,signifi_cubic2,signifi_quarti2,signifi_interc3,signifi_linear3,signifi_quadra3,signifi_cubic3,signifi_quarti3,signifi_interc4,signifi_linear4,signifi_quadra4,signifi_cubic4,signifi_quarti4
1111,-9563,-9607,-9593,-9552,3,3,,,,3,3,,,,3,3,,,,0,3,,,
1112,-9507,-9554,-9540,-9495,3,3,,,,3,3,,,,3,3,,,,3,3,3,,
1113,-9745,-9797,-9781,-9732,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,
1114,-9800,-9856,-9839,-9786,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0
1121,-9559,-9607,-9592,-9547,3,3,,,,3,3,,,,3,1,3,,,0,2,,,
1122,-9501,-9553,-9537,-9488,3,2,,,,3,3,,,,3,2,3,,,3,3,3,,
1123,-9501,-9557,-9540,-9487,3,3,,,,3,2,,,,3,2,3,,,3,3,0,0,
1124,-9551,-9611,-9593,-9536,3,3,,,,0,3,,,,3,2,3,,,3,0,0,1,2
1131,-9556,-9608,-9592,-9543,3,3,,,,3,3,,,,3,1,2,3,,0,2,,,
1132,-9496,-9552,-9534,-9482,3,3,,,,3,3,,,,3,0,1,3,,3,3,3,,
1133,-9500,-9560,-9542,-9485,3,2,,,,3,3,,,,3,0,0,2,,3,3,0,0,
1134,-9728,-9792,-9772,-9712,0,0,,,,0,0,,,,0,0,0,0,,0,0,0,0,0
1141,-9557,-9613,-9596,-9543,3,3,,,,3,3,,,,3,0,0,0,0,0,2,,,
1142,-9501,-9561,-9543,-9486,3,2,,,,3,3,,,,3,0,0,0,0,3,3,3,,
1143,-9487,-9551,-9532,-9471,3,3,,,,3,3,,,,3,0,1,0,0,3,3,3,3,
1144,-9499,-9567,-9546,-9482,3,2,,,,3,3,,,,3,0,0,0,0,3,0,2,3,2
1211,-9563,-9611,-9597,-9551,3,3,,,,3,3,0,,,3,3,,,,0,2,,,
1212,-9504,-9556,-9540,-9491,3,3,,,,3,1,3,,,3,3,,,,3,3,3,,
1213,-9505,-9561,-9544,-9491,3,2,,,,3,3,2,,,3,3,,,,3,3,0,0,
1214,-9625,-9685,-9666,-9610,3,3,,,,3,3,3,,,3,0,,,,0,0,0,0,0
1221,-9559,-9611,-9595,-9546,3,3,,,,3,3,0,,,3,1,3,,,0,2,,,
1222,-9493,-9549,-9532,-9479,3,3,,,,3,0,3,,,3,3,3,,,3,3,3,,
1223,-9575,-9635,-9616,-9560,0,0,,,,0,0,0,,,0,0,0,,,0,0,0,0,
1224,-9500,-9564,-9544,-9484,3,0,,,,3,2,2,,,3,3,3,,,3,0,3,3,3
1231,-9557,-9613,-9595,-9543,3,3,,,,3,3,0,,,3,1,2,3,,0,2,,,
1232,-9499,-9559,-9540,-9484,3,0,,,,3,3,2,,,3,0,0,2,,3,3,3,,
1233,-9499,-9563,-9543,-9483,3,1,,,,3,3,2,,,3,0,0,2,,3,3,0,0,
1234,-9496,-9564,-9543,-9479,3,0,,,,3,3,2,,,3,0,0,2,,3,0,2,3,3
1241,-9558,-9618,-9599,-9543,3,3,,,,3,3,0,,,3,0,0,0,0,0,2,,,
1242,-9490,-9554,-9534,-9474,3,3,,,,3,0,3,,,3,1,2,1,0,3,3,3,,
1243,-9483,-9551,-9530,-9466,3,3,,,,3,1,3,,,3,0,1,1,0,3,3,3,3,
1244,-9497,-9569,-9547,-9479,3,0,,,,3,3,2,,,3,0,0,0,0,3,0,2,3,3
1311,-9558,-9609,-9593,-9545,0,3,,,,3,0,3,3,,3,3,,,,3,3,,,
1312,-9502,-9558,-9541,-9488,3,3,,,,3,0,3,3,,3,3,,,,3,3,3,,
1313,-9489,-9549,-9531,-9474,3,3,,,,3,3,3,3,,3,3,,,,3,3,3,3,
1314,-9498,-9562,-9542,-9482,3,2,,,,3,1,3,3,,3,3,,,,3,0,2,3,3
1321,-9553,-9609,-9591,-9539,0,2,,,,3,0,3,3,,3,2,3,,,3,3,,,
1322,-9490,-9550,-9532,-9475,3,3,,,,3,1,3,3,,3,3,3,,,3,3,3,,
1323,-9495,-9559,-9539,-9479,3,2,,,,3,1,3,3,,3,2,3,,,3,3,0,0,
1324,-9492,-9560,-9539,-9475,3,2,,,,3,1,3,3,,3,2,3,,,3,0,2,3,3
1331,-9550,-9610,-9591,-9535,3,3,,,,3,0,3,3,,3,1,2,3,,0,2,,,
1332,-9494,-9558,-9538,-9478,3,2,,,,3,1,3,3,,3,0,0,2,,3,3,3,,
1333,-9494,-9562,-9541,-9477,3,2,,,,3,1,3,3,,3,0,0,2,,3,3,0,0,
1334,-9491,-9563,-9541,-9473,3,2,,,,3,1,3,3,,3,0,0,2,,3,0,2,3,3
1341,-9550,-9614,-9595,-9534,3,3,,,,3,0,3,3,,3,0,0,0,0,0,2,,,
1342,-9487,-9555,-9534,-9470,3,3,,,,3,1,3,3,,3,2,2,1,0,3,3,3,,
1343,-9495,-9567,-9544,-9477,3,2,,,,3,1,3,3,,3,0,0,0,0,3,3,0,0,
1344,-9462,-9538,-9515,-9443,3,3,,,,3,3,3,3,,3,0,0,0,0,3,0,0,1,0
1411,-9556,-9612,-9595,-9542,0,3,,,,3,0,0,1,2,3,3,,,,3,3,,,
1412,-9501,-9560,-9542,-9486,3,2,,,,3,0,0,0,0,3,3,,,,3,3,3,,
1413,-9489,-9553,-9533,-9473,3,3,,,,3,0,0,0,1,3,3,,,,3,3,3,3,
1414,-9489,-9557,-9536,-9472,3,3,,,,3,0,0,0,1,3,3,,,,3,3,0,0,0
1421,-9551,-9611,-9593,-9536,0,3,,,,3,0,0,1,2,3,2,3,,,3,3,,,
1422,-9490,-9554,-9534,-9474,3,3,,,,3,0,0,0,1,3,3,3,,,3,3,3,,
1423,-9477,-9545,-9524,-9460,3,3,,,,3,0,0,0,1,3,3,3,,,3,3,3,3,
1424,-9478,-9549,-9527,-9460,3,3,,,,3,0,0,0,2,3,3,3,,,3,2,0,0,0
1431,-9548,-9612,-9593,-9532,3,3,,,,3,0,0,0,2,3,1,2,3,,0,3,,,
1432,-9487,-9555,-9534,-9470,3,3,,,,3,0,0,0,1,3,0,2,3,,3,3,3,,
